Data,Temp Med,Temp Max,Temp Min,Chuva,UR
01/10/2019,30.1,36.3,20.5,0,40.83
02/10/2019,30.3,37.3,23.9,0,44.46
03/10/2019,28.9,36.4,22.4,0,50.04
04/10/2019,27.8,35.3,19,0,43
05/10/2019,30.4,37.6,23.7,0,42.88
06/10/2019,24.4,28.2,21.6,0,50.75
07/10/2019,23.4,28.3,19.8,0,51.96
08/10/2019,24.6,28.8,19.6,0,54
09/10/2019,26.4,31.7,20.6,0,54.54
10/10/2019,27.7,34.4,20,0,47.75
11/10/2019,29.7,35.8,22.9,0,49.92
12/10/2019,30.9,37.1,24.7,0,45.5
13/10/2019,29.6,38,23.8,0,43.83
14/10/2019,28.9,34.6,21.4,0,45.96
15/10/2019,28.1,34.4,22.7,0,48.08
16/10/2019,28.2,35.2,19.3,0,46.88
17/10/2019,30.2,37.2,22.1,0,46.71
18/10/2019,30,36.7,21.7,21.8,46.25
19/10/2019,27.9,33.5,21.9,8,51.29
20/10/2019,26.8,31.4,20.2,0.4,49.33
21/10/2019,20.7,25,18.2,50.4,58.92
22/10/2019,22,27.3,18.7,0.6,62.25
23/10/2019,24.2,30.9,17.4,0.2,59.71
24/10/2019,26.8,33,19.7,0,52.63
25/10/2019,28.9,35.7,20.1,0,50.04
26/10/2019,29.7,36.1,23,0,47.75
27/10/2019,30.7,36.7,24.3,0,46.25
28/10/2019,23.9,30.9,20.1,15.4,54
29/10/2019,29.3,35.6,20.6,0,55.63
30/10/2019,30.6,36.4,23.2,0,51.38
31/10/2019,30.4,35.6,24,0,46.63
01/11/2019,30.2,35.6,23.6,0,46.5
02/11/2019,29.3,35.4,21.8,0,46.88
03/11/2019,31.1,37.5,24.5,0,46.61
04/11/2019,31,37.1,23.8,0,48.21
05/11/2019,30.1,37.4,23.7,0,47.96
06/11/2019,26.8,33.3,22.4,0.6,52.5
07/11/2019,26.4,30.8,20.2,0,50.58
08/11/2019,25.6,29.1,23.6,0,55.04
09/11/2019,26.6,31.4,22.7,0,58.92
10/11/2019,26.1,28.6,23.2,0,56.33
11/11/2019,27.2,34.2,23.2,0,58.63
12/11/2019,27.4,33.4,21.1,0,52.13
13/11/2019,25.8,32.3,20.9,12.4,52.38
14/11/2019,24.3,28.6,21.2,4.2,63.08
15/11/2019,26.2,31.7,21.6,0,60.13
16/11/2019,26.4,33.1,18.6,0,52.5
17/11/2019,27.7,33.8,20,0,42.83
18/11/2019,27.4,34.1,18.6,0,40.04
19/11/2019,27.6,35.2,19.8,0,45.58
20/11/2019,29.1,35.8,21.6,0,46.79
21/11/2019,27,35.9,21.1,15.8,48.88
22/11/2019,28.4,34.1,21.4,0.2,53.96
23/11/2019,28.6,33.6,22.7,0,52.58
24/11/2019,25.9,30.1,22.5,0,50.38
25/11/2019,26,33,17.9,0,47.42
26/11/2019,27.7,34.1,21.9,1,51.46
27/11/2019,24.7,29.4,22.6,9.2,60.33
28/11/2019,25.8,31.4,21.7,0.6,61.38
29/11/2019,25.9,31.8,18.8,0,53.29
30/11/2019,27.2,31.9,24.4,0,57
01/12/2019,25.3,31.6,22.6,6.4,60.83
02/12/2019,26.4,32.2,22.4,0,60.38
03/12/2019,25.4,30.6,19.7,0,54.08
04/12/2019,26.1,31.5,23.8,2,59.96
05/12/2019,25.1,29.5,22.8,0.2,64.75
06/12/2019,25.6,30.9,21.9,0,61.92
07/12/2019,25.7,34.2,17.2,0,53.46
08/12/2019,28.6,35.1,21.2,0,47.46
09/12/2019,24.6,28.5,21.7,0.6,51.13
10/12/2019,25.9,33.8,20.6,3,57.96
11/12/2019,22.8,25,19.7,2.4,62.83
12/12/2019,25.2,33,18.9,2.8,63.08
13/12/2019,25.3,30.4,20.9,0,62.17
14/12/2019,25.8,30.8,21.9,0.6,61.75
15/12/2019,26.2,31.2,20.7,3,63.04
16/12/2019,24.1,27.3,20.5,41.8,65.21
17/12/2019,22.6,27.3,20.4,13.6,68.33
18/12/2019,24.2,28.7,20.7,0.8,68.42
19/12/2019,24.9,30.7,21.6,1.4,65
20/12/2019,25.1,30.9,21.3,12.8,64.83
21/12/2019,22.8,28.9,20.6,26.4,68.83
22/12/2019,22.3,24.3,21.1,3.4,71.17
23/12/2019,25.1,31.4,21.2,0.2,68.96
24/12/2019,25.4,31.6,20.5,0,63.42
25/12/2019,28.7,35.6,22.9,0,58.88
26/12/2019,28.7,35.7,23.6,3.4,54.92
27/12/2019,28.4,34.3,22.8,0,47.71
28/12/2019,28.1,34.4,22.6,0,52.96
29/12/2019,29.5,36.2,24.4,0,54.54
30/12/2019,28.7,35.7,23.7,0,51.08
31/12/2019,29.2,36.3,22.2,0,50.92
01/01/2020,26.7,35.4,23.2,20.2,54.57
02/01/2020,27.5,33.4,23,0,60.33
03/01/2020,24.1,29.6,22.1,27.2,63.29
04/01/2020,25.7,31.3,21.5,0,61.75
